end_station_index,start_station_index,footprint_main_leg,station_footprint_start,station_footprint_end,rab_dif_footprint_start,rab_dif_footprint_end,gtfs_station_name_start,gtfs_station_name_end,mode,total
5,171,1.0799316541572246,0.8548579047167842,3.087969381063782,4.384825758221797,3.7471550180091806,Mantes-la-Jolie,Versailles Chantiers,train,13.15473971616877
5,478,4.129174132699855,4.971080136551922,3.109698056025057,3.8257367393751522,3.072284465637516,Massy - Palaiseau / Massy Palaiseau RER C,Versailles Chantiers,train,19.107973530289502
5,509,0.08788740483581692,2.271653306105682,1.416678182452007,3.3309189361510674,0.4664151822804563,Avignon TGV,Versailles Chantiers,train,7.573553011825029
5,511,1.2985889845818999,3.654976667077641,1.4762482250830122,0.0016604003976078419,1.8917877972625152,Lyon Part Dieu,Versailles Chantiers,train,8.323262074402676
5,513,1.2861775696241224,0.5971582693155814,4.873457093566874,0.9007821366477275,0.5646128681954465,Marseille Saint-Charles,Versailles Chantiers,train,8.222187937349752
5,683,1.503616662025264,1.488609574502201,2.589947670850562,2.3288528154960684,4.613070555951994,Valence TGV Rhône-Alpes Sud,Versailles Chantiers,train,12.52409727882609
5,732,1.3203879313805478,1.7488273731808506,3.046058507074332,3.1179281167778825,0.582809585584958,Rouen Rive Droite,Versailles Chantiers,train,9.81601151399857
5,733,0.8983193643504189,0.48387199247383605,1.0713996136622232,1.5833276991332763,1.001323587620273,Le Havre,Versailles Chantiers,train,5.038242257240027
29,517,2.1569046146230217,4.687255757201739,3.803074561715918,0.5233552410766795,0.7327234855095599,Toulouse Matabiau,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,11.903313660126917
29,519,2.1114449714992483,2.986513348282153,3.9089632390834943,1.4041850058474759,2.862461508343049,Montauban Ville Bourbon,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,13.27356807305542
29,551,0.3161325010945276,1.6835350763252537,3.3044938445576744,1.9830940462533753,4.993419331471992,Tarbes,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,12.280674799702824
29,552,0.594826860001107,1.6843540790361444,0.8298422573435865,4.5131568521897405,4.552359038902748,Lourdes,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,12.174539087473327
29,553,4.559639130965175,3.5861581056506413,3.8583614565322093,1.748081790950049,2.7697373722197938,Pau,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,16.521977856317868
29,554,3.5841416321303625,1.9918127905406258,2.1710571678247264,2.9170861449700696,0.8387139401278898,Orthez,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,11.502811675593675
29,555,4.985247954976747,1.5280882672325935,1.3560528181449927,4.943068066419666,0.9130313671293339,Bayonne,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,13.725488473903331
29,556,2.91827611458284,2.7682850342309147,1.0288055211397784,0.22892938485668757,3.112290860615889,Dax,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,10.056586915426111
29,557,1.526828471202366,3.284849662585061,1.8383421047084152,2.6703732034803105,1.5879774271190112,Biarritz,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,10.908370869095164
29,558,1.2038925314851427,2.7674049828303455,4.420771270444988,0.67883283089132,4.260402356684389,Hendaye,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,13.331303972336187
29,559,0.6629469684279321,3.827644631047795,3.1596509846198257,0.7724010964428496,3.9669851362765476,Saint-Jean-de-Luz - Ciboure,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,12.389628816814952
29,588,0.9319575090332338,0.9293223577865467,3.7070626449666393,2.4348549548758376,3.3338373985757306,Nantes,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,11.337034865237989
29,589,4.6798113678747315,2.4651381940581696,2.7143883348792244,1.83630004722293,0.15781253382510574,Angers Saint-Laud,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,11.85345047786016
29,590,1.3634173876464457,2.9967894156762416,3.241906550889934,0.4100714454339627,0.6624267109763787,La Rochelle,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,8.674611510622961
29,592,3.954895354476176,2.114882574744972,4.512792498982505,0.9306455009585762,3.5951838511628003,La Roche-sur-Yon,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,15.10839978032503
29,597,3.360268758635638,4.871695646138008,0.5049707028820255,2.0467134443701083,1.9338468262082338,Saint-Pierre-des-Corps,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,12.71749537823401
29,600,3.9549777194652997,4.202656082806921,3.514328725895261,3.082591971315333,3.9114248166086725,Bordeaux Saint-Jean,Paris Montparnasse / Gare Montparnasse / Paris Montparnasse Hall 1 - 2 / Paris Montparnasse Vaugirard,train,18.665979316091487
